# id	left	top	right	bottom	texture_id
[SPRITES]
#/
# ==== Small Mario ==== 
# --Right--
# idle right
10001	254	1	266	17	100
#walk right
10002	254	1	266	17	100
10003	269	1	284	17	100
#max speed right
10104	323	1	339	17	100
10105	341	1	357	17	100
#jump up right
10200	304	1	320	17	100
#brake right
10307	287	1	301	17	100
#hold idle right
10500	435	1	449	17	100
#hold walk right
10501	435	1	449	17	100
10502	452	1	467	17	100
#hold jump right
10503	452	1	467	17	100
#fly right
10602	360	1	376	17	100
#kick right
10700	470	1	486	17	100
# --Left--
# idle left
10011	574	1	586	17	90
#walk left
10012	574	1	586	17	90
10013	556	1	571	17	90
#max speed left
10114	501	1	517	17	90
10115	483	1	499	17	90
#jump left
10210	520	1	536	17	90
#brake left
10317	539	1	553	17	90
#hold idle left
10510	391	1	405	17	90
#hold walk left
10511	391	1	405	17	90
10512	373	1	388	17	90
#hold jump left
10513	373	1	388	17	90
#fly left
10612	464	1	480	17	90
#kick left
10710	354	1	370	17	90

#  ==== Big Mario  ==== 
# --Right--
# idle right
11001	197	41	211	68	100
#walk right
11002	197	41	211	68	100
11003	214	41	230	68	100
#max speed right
11104	290	41	309	68	100
11105	312	41	331	68	100
11106	334	41	353	68	100
#jump up right
11201	271	42	287	68	100
#jump down right
11202	233	42	249	68	100
#brake right
11307	252	40	268	68	100
#sit right
11408	379	50	393	68	100
#hold idle right
11500	434	41	448	68	100
#hold walk right
11501	434	41	448	68	100
11502	451	41	466	68	100
#hold jump right
11503	469	42	485	68	100
#fly right
11602	599	42	618	68	100
#kick right
11700	488	41	509	68	100
# --Left--
# idle left
11011	629	41	643	68	90
#walk left
11012	629	41	643	68	90
11013	610	41	626	68	90
#max speed left
11114	531	41	550	68	90
11115	509	41	528	68	90
11116	487	41	506	68	90
#jump up left
11211	553	42	569	68	90
#jump down left
11212	591	42	607	68	90
#brake left
11317	572	40	588	68	90
#sit left
11418	447	50	461	68	90
#hold idle left
11510	392	41	406	68	90
#hold walk left
11511	392	41	406	68	90
11512	374	41	389	68	90
#hold jump left
11513	355	42	371	68	90
#fly left
11612	222	42	241	68	90
#kick left
11710	331	41	352	68	90

#  ==== Tail Mario ==== 
# --Right--
# idle right
12001	80	135	101	163	100
#walk right
12002	80	135	101	163	100
12003	104	135	126	163	100
#run right
12104	360	135	384	163	100
12105	387	135	411	163	100
#jump up right
12201	257	136	280	163	100
#jump down right
12202	309	136	332	163	100
#brake right
12307	669	133	685	163	90
#sit right
12408	522	145	544	163	100	
#hold idle right
12500	566	135	587	163	100
#hold walk right
12501	590	135	612	163	100
12502	615	136	638	163	100
#hold jump right
12503	615	136	638	163	100
#fly up right
12602	495	135	519	163	100
#fly down right
12603	441	136	465	163	100
#fly wagging right
12604	441	136	465	163	100
12605	468	136	492	163	100
12606	495	135	519	163	100
#kick right
12700	641	135	663	163	100
#whipping tail right
12803	78	100	101	128	100
12804	174	135	190	163	100
12805	193	135	216	163	100
12806	219	135	235	163	100
#wagging tail right
12203	283	136	306	163	100
12204	309	136	332	163	100
12205	335	135	357	163	100
# --Left--
# idle left
12011	739	135	760	163	90
#walk left
12012	739	135	760	163	90
12013	714	135	736	163	90
#run left
12114	456	135	480	163	90
12115	429	135	453	163	90
#jump left
12211	560	136	583	163	90
#fall left
12212	508	136	531	163	90
#brace left
12317	155	133	171	163	100
#sit left
12418	296	145	318	163	90
#hold idle left
12510	253	135	274	163	90
#hold walk left
12511	228	135	250	163	90
12512	202	136	225	163	90
#hold jump left
12513	202	136	225	163	90
#fly up left
12612	321	135	345	163	90
#fly down left
12613	375	136	399	163	90
#fly left
12614	375	136	399	163	90
12615	348	136	372	163	90
12616	321	135	345	163	90
#kick left
12710	177	135	199	163	90
#turning tail left
12813	739	100	762	128	90
12814	650	135	666	163	90
12815	624	135	647	163	90
12816	605	135	621	163	90
#flapping tail left
12213	534	136	557	163	90
12214	508	136	531	163	90
12215	483	135	505	163	90

#DIE
13001	215	120	234	137	0

############ TRANSFORM ############
#SMALL FRAME
#14101	247	1612	260	1639	0
#14102	187	1612	200	1639	0

#ENLARGE FRAME
#right
#14201	246	151	259	178	0
#left
#14202	186	151	199	178	0

############ NOTHING ##############
15001	212	71	225	98	0
#/

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#/
# ==== SMALL =====
#idle small right
100	10001	100
#walk small right
1000	10002	100	10003	100
#max speed small right
1010	10104	50	10105	50
#jump small right
1020	10200	100
#brake small right 
1030	10307	100
#hold idle small right
10500	10500	100
#hold walk small right
10510	10501	100	10502	100
#hold jump small right
10530	10503	100
#fly right
10620	10602	100
#hold kick small right
10570	10700	200
#idle small left
101	10011	100
#walk small left
1001	10012	100	10013	100
#max speed small left
